timestamp,dist_real_cm,dist_sensor_cm
1771607393.20805,5,4.36
1771607393.23309,5,4.37
1771607393.25818,5,4.32
1771607393.28325,5,4.37
1771607393.30829,5,4.4
1771607393.33338,5,4.36
1771607393.35841,5,4.36
1771607393.38349,5,4.36
1771607393.40854,5,4.3
1771607393.43361,5,4.45
1771607393.45866,5,4.36
1771607393.48373,5,4.35
1771607393.50879,5,4.37
1771607393.53385,5,4.39
1771607393.55892,5,4.37
1771607393.58399,5,4.4
1771607393.60905,5,4.36
1771607393.63412,5,4.36
1771607393.65919,5,4.38
1771607393.68424,5,4.35
1771607393.70932,5,4.43
1771607393.73439,5,4.34
1771607393.75945,5,4.34
1771607393.78452,5,4.36
1771607393.80958,5,4.34
1771607393.83465,5,4.42
1771607393.85972,5,4.36
1771607393.88478,5,4.36
1771607393.90984,5,4.37
1771607393.93491,5,4.36
1771607393.95997,5,4.37
1771607393.98503,5,4.38
1771607394.01010,5,4.46
1771607394.03516,5,4.37
1771607394.06023,5,4.43
1771607394.08529,5,4.39
1771607394.11036,5,4.36
1771607394.13541,5,4.4
1771607394.16047,5,4.33
1771607394.18555,5,4.34
1771607394.21061,5,4.42
1771607394.23567,5,4.44
1771607394.26074,5,4.33
1771607394.28580,5,4.43
1771607394.31086,5,4.41
1771607394.33593,5,4.4
1771607394.36099,5,4.41
1771607394.38605,5,4.33
1771607394.41112,5,4.42
1771607394.43618,5,4.43
1771607394.46124,5,4.34
1771607394.48631,5,4.43
1771607394.51137,5,4.33
1771607394.53644,5,4.35
1771607394.56150,5,4.41
1771607394.58657,5,4.41
1771607394.61163,5,4.35
1771607394.63670,5,4.41
1771607394.66176,5,4.41
1771607394.68683,5,4.41
1771607394.71189,5,4.33
1771607394.73695,5,4.34
1771607394.76212,5,4.4
1771607394.78714,5,4.33
1771607394.81219,5,4.33
1771607394.83726,5,4.38
1771607394.86229,5,4.36
1771607394.88741,5,4.41
1771607394.91247,5,4.35
1771607394.93755,5,4.37
1771607394.96261,5,4.37
1771607394.98769,5,4.45
1771607395.01275,5,4.35
1771607395.03780,5,4.39
1771607395.06286,5,4.32
1771607395.08792,5,4.39
1771607395.11297,5,4.41
1771607395.13806,5,4.43
1771607395.16311,5,4.4
1771607395.18822,5,4.38
1771607395.21327,5,4.45
1771607395.23834,5,4.45
1771607395.26341,5,4.43
1771607395.28846,5,4.43
1771607395.31352,5,4.33
1771607395.33859,5,4.33
1771607395.36366,5,4.37
1771607395.38871,5,4.43
1771607395.41377,5,4.39
1771607395.43884,5,4.38
1771607395.46390,5,4.4
1771607395.48895,5,4.36
1771607395.51404,5,4.38
1771607395.53909,5,4.37
1771607395.56414,5,4.38
1771607395.58921,5,4.36
1771607395.61426,5,4.36
1771607395.63932,5,4.34
1771607395.66438,5,4.37
1771607395.68945,5,4.35
1771607395.71453,5,4.36
1771607395.73958,5,4.38
1771607395.76463,5,4.38
1771607395.78969,5,4.36
1771607395.81484,5,4.44
1771607395.83990,5,4.39
1771607395.86496,5,4.34
1771607395.89002,5,4.44
1771607395.91508,5,4.44
1771607395.94016,5,4.36
1771607395.96520,5,4.44
1771607395.99026,5,4.37
1771607396.01532,5,4.38
1771607396.04038,5,4.36
1771607396.06544,5,4.37
1771607396.09050,5,4.43
1771607396.11556,5,4.37
1771607396.14062,5,4.35
1771607396.16570,5,4.37
1771607396.19075,5,4.37
1771607396.21583,5,4.36
1771607396.24088,5,4.39
1771607396.26593,5,4.37
1771607396.29101,5,4.36
1771607396.31606,5,4.18
1771607396.34112,5,4.36
1771607396.36621,5,4.36
1771607396.39125,5,4.35
1771607396.41633,5,4.33
1771607396.44141,5,4.37
1771607396.46645,5,4.44
1771607396.49151,5,4.43
1771607396.51657,5,4.44
1771607396.54162,5,4.44
1771607396.56668,5,4.35
1771607396.59174,5,4.33
1771607396.61680,5,4.34
1771607396.64190,5,4.38
1771607396.66697,5,4.35
1771607396.69203,5,4.33
1771607396.71707,5,4.36
1771607396.74213,5,4.37
1771607396.76720,5,4.45
1771607396.79229,5,4.41
1771607396.81734,5,4.33
1771607396.84242,5,4.44
1771607396.86749,5,4.43
1771607396.89256,5,4.4
1771607396.91763,5,4.42
1771607396.94270,5,4.35
1771607396.96778,5,4.45
1771607396.99284,5,4.36
1771607397.01791,5,4.35
1771607397.04298,5,4.38
1771607397.06805,5,4.37
1771607397.09312,5,4.38
1771607397.11819,5,4.37
1771607397.14325,5,4.39
1771607397.16833,5,4.4
1771607397.19339,5,4.39
1771607397.21844,5,4.37
1771607397.24352,5,4.41
1771607397.26859,5,4.44
1771607397.29364,5,4.37
1771607397.31871,5,4.37
1771607397.34378,5,4.39
1771607397.36885,5,4.4
1771607397.39391,5,4.45
1771607397.41897,5,4.44
1771607397.44403,5,4.39
1771607397.46909,5,4.36
1771607397.49416,5,4.36
1771607397.51922,5,4.35
1771607397.54429,5,4.36
1771607397.56936,5,4.35
1771607397.59443,5,4.45
1771607397.61949,5,4.38
1771607397.64450,5,4.44
1771607397.66961,5,4.46
1771607397.69468,5,4.36
1771607397.71975,5,4.36
1771607397.74481,5,4.36
1771607397.76987,5,4.43
1771607397.79494,5,4.38
1771607397.82000,5,4.34
1771607397.84508,5,4.36
1771607397.87015,5,4.46
1771607397.89521,5,4.38
1771607397.92027,5,4.35
1771607397.94533,5,4.35
1771607397.97040,5,4.44
1771607397.99547,5,4.36
1771607398.02053,5,4.36
1771607398.04559,5,4.45
1771607398.07065,5,4.36
1771607398.09572,5,4.37
1771607398.12078,5,4.39
1771607398.14584,5,4.36
1771607398.17092,5,4.36
1771607398.19598,5,4.4
1771607398.22105,5,4.35
1771607398.24611,5,4.35
1771607398.27118,5,4.41
1771607398.29623,5,4.44
1771607398.32130,5,4.38
1771607398.34638,5,4.42
1771607398.37144,5,4.37
1771607398.39650,5,4.44
1771607398.42156,5,4.36
1771607398.44663,5,4.38
1771607398.47169,5,4.37
1771607398.49676,5,4.43
1771607398.52183,5,4.36
1771607398.54688,5,4.34
1771607398.57196,5,4.3
1771607398.59702,5,4.36
1771607398.62212,5,4.82
1771607398.64716,5,4.35
1771607398.67222,5,4.36
1771607398.69728,5,4.35
1771607398.72236,5,4.38
1771607398.74742,5,4.45
1771607398.77249,5,4.37
1771607398.79758,5,4.9
1771607398.82264,5,4.35
1771607398.84769,5,4.39
1771607398.87275,5,4.33
1771607398.89781,5,4.19
1771607398.92293,5,4.38
1771607398.94800,5,4.4
1771607398.97308,5,4.43
1771607398.99814,5,4.45
1771607399.02320,5,4.36
1771607399.04826,5,4.43
1771607399.07331,5,4.36
1771607399.09839,5,4.41
1771607399.12347,5,4.42
1771607399.14851,5,4.44
1771607399.17357,5,4.36
1771607399.19865,5,4.35
1771607399.22375,5,4.35
1771607399.24886,5,4.35
1771607399.27393,5,4.37
1771607399.29900,5,4.41
1771607399.32407,5,3.93
1771607399.34914,5,4.36
1771607399.37421,5,4.44
1771607399.39928,5,4.43
1771607399.42435,5,4.43
1771607399.44941,5,4.43
1771607399.47448,5,4.34
1771607399.49955,5,4.43
1771607399.52462,5,4.35
1771607399.54969,5,4.34
1771607399.57477,5,4.39
1771607399.59983,5,4.4
1771607399.62490,5,4.39
1771607399.64997,5,4.35
1771607399.67504,5,4.36
1771607399.70010,5,4.36
1771607399.72517,5,4.36
1771607399.75024,5,4.42
1771607399.77531,5,4.42
1771607399.80038,5,4.41
1771607399.82545,5,4.42
1771607399.85052,5,4.4
1771607399.87559,5,4.36
1771607399.90066,5,4.43
1771607399.92573,5,4.42
1771607399.95079,5,4.4
1771607399.97586,5,4.43
1771607400.00093,5,4.35
1771607400.02600,5,4.4
1771607400.05106,5,4.34
1771607400.07613,5,4.42
1771607400.10121,5,4.35
1771607400.12627,5,4.42
1771607400.15134,5,4.36
1771607400.17641,5,4.34
1771607400.20148,5,4.41
1771607400.22655,5,4.41
1771607400.25162,5,4.43
1771607400.27669,5,4.42
1771607400.30176,5,4.44
1771607400.32683,5,4.4
1771607400.35189,5,4.41
1771607400.37696,5,4.34
1771607400.40203,5,4.35
1771607400.42711,5,4.42
1771607400.45217,5,4.38
1771607400.47724,5,4.39
1771607400.50229,5,4.39
1771607400.52738,5,4.37
1771607400.55245,5,4.36
1771607400.57752,5,4.37
1771607400.60258,5,4.36
1771607400.62766,5,4.39
1771607400.65273,5,4.43
1771607400.67781,5,4.38
1771607400.70288,5,4.35
1771607400.72795,5,4.37
1771607400.75302,5,4.37
1771607400.77809,5,4.39
1771607400.80316,5,4.37
1771607400.82853,5,10.28
1771607400.85329,5,4.39
1771607400.87837,5,4.39
1771607400.90342,5,4.36
1771607400.92850,5,4.38
1771607400.95356,5,4.39
1771607400.97863,5,4.45
1771607401.00370,5,4.38
1771607401.02876,5,4.4
1771607401.05383,5,4.36
1771607401.07890,5,4.35
1771607401.10398,5,4.42
1771607401.12905,5,4.38
1771607401.15411,5,4.35
1771607401.17918,5,4.32
1771607401.20425,5,4.36
1771607401.22932,5,4.37
1771607401.25439,5,4.45
1771607401.27944,5,4.43
1771607401.30449,5,4.43
1771607401.32955,5,4.4
1771607401.35461,5,4.35
1771607401.37971,5,4.42
1771607401.40475,5,4.36
1771607401.42981,5,4.35
1771607401.45487,5,4.33
1771607401.47993,5,4.42
1771607401.50499,5,4.33
1771607401.53005,5,4.42
